,MapDate,ValidStart,ValidEnd,Week
127,2014-06-03,2014-06-03,2014-06-09,127
128,2014-06-10,2014-06-10,2014-06-16,128
129,2014-06-17,2014-06-17,2014-06-23,129
130,2014-06-24,2014-06-24,2014-06-30,130
131,2014-07-01,2014-07-01,2014-07-07,131
132,2014-07-08,2014-07-08,2014-07-14,132
133,2014-07-15,2014-07-15,2014-07-21,133
134,2014-07-22,2014-07-22,2014-07-28,134
135,2014-07-29,2014-07-29,2014-08-04,135
136,2014-08-05,2014-08-05,2014-08-11,136
137,2014-08-12,2014-08-12,2014-08-18,137
138,2014-08-19,2014-08-19,2014-08-25,138
139,2014-08-26,2014-08-26,2014-09-01,139
140,2014-09-02,2014-09-02,2014-09-08,140
141,2014-09-09,2014-09-09,2014-09-15,141
142,2014-09-16,2014-09-16,2014-09-22,142
143,2014-09-23,2014-09-23,2014-09-29,143
144,2014-09-30,2014-09-30,2014-10-06,144
145,2014-10-07,2014-10-07,2014-10-13,145
146,2014-10-14,2014-10-14,2014-10-20,146
147,2014-10-21,2014-10-21,2014-10-27,147
148,2014-10-28,2014-10-28,2014-11-03,148
149,2014-11-04,2014-11-04,2014-11-10,149
150,2014-11-11,2014-11-11,2014-11-17,150
151,2014-11-18,2014-11-18,2014-11-24,151
152,2014-11-25,2014-11-25,2014-12-01,152
153,2014-12-02,2014-12-02,2014-12-08,153
154,2014-12-09,2014-12-09,2014-12-15,154
155,2014-12-16,2014-12-16,2014-12-22,155
156,2014-12-23,2014-12-23,2014-12-29,156
157,2014-12-30,2014-12-30,2015-01-05,157
158,2015-01-06,2015-01-06,2015-01-12,158
159,2015-01-13,2015-01-13,2015-01-19,159
160,2015-01-20,2015-01-20,2015-01-26,160
161,2015-01-27,2015-01-27,2015-02-02,161
162,2015-02-03,2015-02-03,2015-02-09,162
163,2015-02-10,2015-02-10,2015-02-16,163
164,2015-02-17,2015-02-17,2015-02-23,164
165,2015-02-24,2015-02-24,2015-03-02,165
166,2015-03-03,2015-03-03,2015-03-09,166
167,2015-03-10,2015-03-10,2015-03-16,167
168,2015-03-17,2015-03-17,2015-03-23,168
169,2015-03-24,2015-03-24,2015-03-30,169
170,2015-03-31,2015-03-31,2015-04-06,170
171,2015-04-07,2015-04-07,2015-04-13,171
172,2015-04-14,2015-04-14,2015-04-20,172
173,2015-04-21,2015-04-21,2015-04-27,173
174,2015-04-28,2015-04-28,2015-05-04,174
175,2015-05-05,2015-05-05,2015-05-11,175
176,2015-05-12,2015-05-12,2015-05-18,176
177,2015-05-19,2015-05-19,2015-05-25,177
178,2015-05-26,2015-05-26,2015-06-01,178
179,2015-06-02,2015-06-02,2015-06-08,179
180,2015-06-09,2015-06-09,2015-06-15,180
181,2015-06-16,2015-06-16,2015-06-22,181
182,2015-06-23,2015-06-23,2015-06-29,182
183,2015-06-30,2015-06-30,2015-07-06,183
184,2015-07-07,2015-07-07,2015-07-13,184
185,2015-07-14,2015-07-14,2015-07-20,185
186,2015-07-21,2015-07-21,2015-07-27,186
187,2015-07-28,2015-07-28,2015-08-03,187
188,2015-08-04,2015-08-04,2015-08-10,188
189,2015-08-11,2015-08-11,2015-08-17,189
190,2015-08-18,2015-08-18,2015-08-24,190
191,2015-08-25,2015-08-25,2015-08-31,191
192,2015-09-01,2015-09-01,2015-09-07,192
193,2015-09-08,2015-09-08,2015-09-14,193
194,2015-09-15,2015-09-15,2015-09-21,194
195,2015-09-22,2015-09-22,2015-09-28,195
196,2015-09-29,2015-09-29,2015-10-05,196
197,2015-10-06,2015-10-06,2015-10-12,197
198,2015-10-13,2015-10-13,2015-10-19,198
199,2015-10-20,2015-10-20,2015-10-26,199
200,2015-10-27,2015-10-27,2015-11-02,200
201,2015-11-03,2015-11-03,2015-11-09,201
202,2015-11-10,2015-11-10,2015-11-16,202
203,2015-11-17,2015-11-17,2015-11-23,203
204,2015-11-24,2015-11-24,2015-11-30,204
205,2015-12-01,2015-12-01,2015-12-07,205
206,2015-12-08,2015-12-08,2015-12-14,206
207,2015-12-15,2015-12-15,2015-12-21,207
208,2015-12-22,2015-12-22,2015-12-28,208
209,2015-12-29,2015-12-29,2016-01-04,209
210,2016-01-05,2016-01-05,2016-01-11,210
211,2016-01-12,2016-01-12,2016-01-18,211
212,2016-01-19,2016-01-19,2016-01-25,212
213,2016-01-26,2016-01-26,2016-02-01,213
214,2016-02-02,2016-02-02,2016-02-08,214
215,2016-02-09,2016-02-09,2016-02-15,215
216,2016-02-16,2016-02-16,2016-02-22,216
217,2016-02-23,2016-02-23,2016-02-29,217
218,2016-03-01,2016-03-01,2016-03-07,218
219,2016-03-08,2016-03-08,2016-03-14,219
220,2016-03-15,2016-03-15,2016-03-21,220
221,2016-03-22,2016-03-22,2016-03-28,221
222,2016-03-29,2016-03-29,2016-04-04,222
223,2016-04-05,2016-04-05,2016-04-11,223
224,2016-04-12,2016-04-12,2016-04-18,224
225,2016-04-19,2016-04-19,2016-04-25,225
226,2016-04-26,2016-04-26,2016-05-02,226
227,2016-05-03,2016-05-03,2016-05-09,227
228,2016-05-10,2016-05-10,2016-05-16,228
229,2016-05-17,2016-05-17,2016-05-23,229
230,2016-05-24,2016-05-24,2016-05-30,230
231,2016-05-31,2016-05-31,2016-06-06,231
232,2016-06-07,2016-06-07,2016-06-13,232
233,2016-06-14,2016-06-14,2016-06-20,233
234,2016-06-21,2016-06-21,2016-06-27,234
235,2016-06-28,2016-06-28,2016-07-04,235
236,2016-07-05,2016-07-05,2016-07-11,236
237,2016-07-12,2016-07-12,2016-07-18,237
238,2016-07-19,2016-07-19,2016-07-25,238
239,2016-07-26,2016-07-26,2016-08-01,239
240,2016-08-02,2016-08-02,2016-08-08,240
241,2016-08-09,2016-08-09,2016-08-15,241
242,2016-08-16,2016-08-16,2016-08-22,242
243,2016-08-23,2016-08-23,2016-08-29,243
244,2016-08-30,2016-08-30,2016-09-05,244
245,2016-09-06,2016-09-06,2016-09-12,245
246,2016-09-13,2016-09-13,2016-09-19,246
247,2016-09-20,2016-09-20,2016-09-26,247
248,2016-09-27,2016-09-27,2016-10-03,248
249,2016-10-04,2016-10-04,2016-10-10,249
250,2016-10-11,2016-10-11,2016-10-17,250
251,2016-10-18,2016-10-18,2016-10-24,251
252,2016-10-25,2016-10-25,2016-10-31,252
253,2016-11-01,2016-11-01,2016-11-07,253
254,2016-11-08,2016-11-08,2016-11-14,254
255,2016-11-15,2016-11-15,2016-11-21,255
256,2016-11-22,2016-11-22,2016-11-28,256
257,2016-11-29,2016-11-29,2016-12-05,257
258,2016-12-06,2016-12-06,2016-12-12,258
259,2016-12-13,2016-12-13,2016-12-19,259
260,2016-12-20,2016-12-20,2016-12-26,260
